"x","y"
"1.116","69.151"
"1.12","67.151"
"1.124","59.151"
"1.128","43.151"
"1.132","29.151"
"1.136","31.151"
"1.14","21.151"
"1.144","21.151"
"1.148","'-10.849"
"1.152","13.151"
"1.156","'-30.849"
"1.16","'-24.849"
"1.164","'-24.849"
"1.168","'-38.849"
"1.172","'-44.849"
"1.176","'-66.849"
"1.18","'-78.849"
"1.184","'-84.849"
"1.188","'-82.849"
"1.192","'-68.849"
"1.196","'-94.849"
"1.2","'-72.849"
"1.204","'-80.849"
"1.208","'-66.849"
"1.212","'-56.849"
"1.216","'-76.849"
"1.22","'-48.849"
"1.224","'-62.849"
"1.228","'-44.849"
"1.232","'-56.849"
"1.236","'-28.849"
"1.24","'-42.849"
"1.244","'-44.849"
"1.248","'-24.849"
"1.252","'-40.849"
"1.256","'-32.849"
"1.26","'-20.849"
"1.264","'-10.849"
"1.268","'-28.849"
"1.272","'-10.849"
"1.276","'-24.849"
"1.28","'-26.849"
"1.284","11.151"
"1.288","'-8.8493"
"1.292","'-4.8493"
"1.296","3.1507"
"1.3","'-6.8493"
"1.304","'-34.849"
"1.308","'-24.849"
"1.312","'-10.849"
"1.316","'-10.849"
"1.32","'-12.849"
"1.324","'-18.849"
"1.328","'-28.849"
"1.332","'-26.849"
"1.336","'-4.8493"
"1.34","'-10.849"
"1.344","'-2.8493"
"1.348","'-2.8493"
"1.352","'-8.8493"
"1.356","3.1507"
"1.36","15.151"
"1.364","19.151"
"1.368","11.151"
"1.372","'-2.8493"
"1.376","13.151"
"1.38","55.151"
"1.384","51.151"
"1.388","31.151"
"1.392","31.151"
"1.396","41.151"
"1.4","29.151"
"1.404","25.151"
"1.408","23.151"
"1.412","5.1507"
"1.416","11.151"
"1.42","'-8.8493"
"1.424","'-2.8493"
"1.428","'-22.849"
"1.432","'-14.849"
"1.436","'-46.849"
"1.44","'-40.849"
"1.444","'-42.849"
"1.448","'-48.849"
"1.452","'-48.849"
"1.456","'-28.849"
"1.46","'-30.849"
"1.464","'-18.849"
"1.468","'-30.849"
"1.472","'-30.849"
"1.476","'-22.849"
"1.48","'-34.849"
"1.484","'-28.849"
"1.488","'-42.849"
"1.492","'-36.849"
"1.496","'-28.849"
"1.5","'-6.8493"
"1.504","'-20.849"
"1.508","'-6.8493"
"1.512","'-8.8493"
"1.516","'-0.8493"
"1.52","'-16.849"
"1.524","'-4.8493"
"1.528","37.151"
"1.532","59.151"
"1.536","211.15"
"1.54","367.15"
"1.544","521.15"
"1.548","661.15"
"1.552","767.15"
"1.556","793.15"
"1.56","541.15"
"1.564","177.15"
"1.568","'-124.85"
"1.572","'-336.85"
"1.576","'-382.85"
"1.58","'-324.85"
"1.584","'-230.85"
"1.588","'-196.85"
"1.592","'-172.85"
"1.596","'-166.85"
"1.6","'-148.85"
"1.604","'-124.85"
"1.608","'-134.85"
"1.612","'-124.85"
"1.616","'-118.85"
"1.62","'-108.85"
"1.624","'-104.85"
"1.628","'-64.849"
"1.632","'-88.849"
"1.636","'-84.849"
"1.64","'-70.849"
"1.644","'-54.849"
"1.648","'-62.849"
"1.652","'-56.849"
"1.656","'-46.849"
"1.66","'-38.849"
"1.664","'-28.849"
"1.668","'-40.849"
"1.672","'-38.849"
"1.676","'-20.849"
"1.68","'-36.849"
"1.684","'-8.8493"
"1.688","'-2.8493"
"1.692","'-14.849"
"1.696","'-16.849"
"1.7","'-16.849"
"1.704","'-4.8493"
"1.708","'-0.8493"
"1.712","7.1507"
"1.716","'-10.849"
"1.72","15.151"
"1.724","13.151"
"1.728","9.1507"
"1.732","21.151"
"1.736","27.151"
"1.74","17.151"
"1.744","53.151"
"1.748","35.151"
"1.752","29.151"
"1.756","37.151"
"1.76","27.151"
"1.764","35.151"
"1.768","57.151"
"1.772","49.151"
"1.776","37.151"
"1.78","31.151"
"1.784","33.151"
"1.788","63.151"
"1.792","57.151"
"1.796","41.151"
"1.8","41.151"
"1.804","55.151"
"1.808","25.151"
"1.812","35.151"
"1.816","55.151"
"1.82","61.151"
"1.824","39.151"
"1.828","45.151"
"1.832","17.151"
"1.836","37.151"
"1.84","37.151"
"1.844","'-6.8493"
"1.848","19.151"
"1.852","'-16.849"
"1.856","'-12.849"
"1.86","'-62.849"
"1.864","'-36.849"
"1.868","'-58.849"
"1.872","'-62.849"
"1.876","'-44.849"
"1.88","'-70.849"
"1.884","'-50.849"
"1.888","'-72.849"
"1.892","'-88.849"
"1.896","'-66.849"
"1.9","'-42.849"
"1.904","'-58.849"
"1.908","'-54.849"
"1.912","'-42.849"
"1.916","'-52.849"
"1.92","'-54.849"
"1.924","'-52.849"
"1.928","'-40.849"
"1.932","'-14.849"
"1.936","'-12.849"
"1.94","'-12.849"
"1.944","'-22.849"
"1.948","'-20.849"
"1.952","'-12.849"
"1.956","'-20.849"
"1.96","'-14.849"
"1.964","'-16.849"
"1.968","'-12.849"
"1.972","'-34.849"
"1.976","'-10.849"
"1.98","'-20.849"
"1.984","'-8.8493"
"1.988","1.1507"
"1.992","'-20.849"
"1.996","'-8.8493"
"2","'-26.849"
"2.004","'-12.849"
"2.008","1.1507"
"2.012","'-24.849"
"2.016","'-10.849"
"2.02","'-4.8493"
"2.024","'-6.8493"
"2.028","'-2.8493"
"2.032","'-16.849"
"2.036","'-2.8493"
"2.04","11.151"
"2.044","7.1507"
"2.048","19.151"
"2.052","27.151"
"2.056","35.151"
"2.06","35.151"
"2.064","29.151"
"2.068","31.151"
"2.072","11.151"
"2.076","39.151"
"2.08","19.151"
"2.084","43.151"
"2.088","'-0.8493"
"2.092","3.1507"
"2.096","'-2.8493"
"2.1","'-22.849"
"2.104","'-26.849"
"2.108","'-40.849"
"2.112","'-34.849"
"2.116","'-44.849"
"2.12","'-28.849"
"2.124","'-46.849"
"2.128","'-56.849"
"2.132","'-22.849"
"2.136","'-34.849"
"2.14","'-44.849"
"2.144","'-50.849"
"2.148","'-38.849"
"2.152","'-34.849"
"2.156","'-42.849"
"2.16","'-54.849"
"2.164","'-34.849"
"2.168","'-22.849"
"2.172","'-36.849"
"2.176","'-20.849"
"2.18","'-10.849"
"2.184","'-12.849"
"2.188","1.1507"
"2.192","'-6.8493"
"2.196","'-30.849"
"2.2","'-18.849"
"2.204","'-8.8493"
"2.208","23.151"
"2.212","91.151"
"2.216","255.15"
"2.22","425.15"
"2.224","601.15"
"2.228","695.15"
"2.232","781.15"
"2.236","663.15"
"2.24","355.15"
